game,Date,Opponent,Home,HOU_SCORE,OPP_SCORE,WIN,pitch_url,Youtube search,game_url,,
56,"MAY 29, 2018",NYA,0,5,6,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530217&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT NYA - MAY 29, 2018",https://www.youtube.com/watch?v=-n8dcmriorc,,
57,"MAY 30, 2018",NYA,0,3,5,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530232&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_502085&view=Umpire&coloring=Pitch%20Type,"HOU AT NYA - MAY 30, 2018",https://www.youtube.com/watch?v=A7ryRoCFkdg,,
58,"MAY 31, 2018",BOS,1,4,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530244&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"BOS AT HOU - MAY 31, 2018",missing ,,
59,"JUNE 01, 2018",BOS,1,7,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530255&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_502748&view=Umpire&coloring=Pitch%20Type,"BOS AT HOU - JUNE 01, 2018",https://www.youtube.com/watch?v=H3v45BkeZps,,
60,"JUNE 02, 2018",BOS,1,3,5,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530270&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"BOS AT HOU - JUNE 02, 2018",missing,,
61,"JUNE 03, 2018",BOS,1,3,9,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530285&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448609&view=Umpire&coloring=Pitch%20Type,"BOS AT HOU - JUNE 03, 2018",https://www.youtube.com/watch?v=fI8oneKBCAw,,
62,"JUNE 05, 2018",SEA,1,1,7,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530316&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501925&view=Umpire&coloring=Pitch%20Type,"SEA AT HOU - JUNE 05, 2018",https://www.youtube.com/watch?v=q7R8QCLpx4I,,
63,"JUNE 06, 2018",SEA,1,7,5,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530331&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"SEA AT HOU - JUNE 06, 2018",https://www.youtube.com/watch?v=mqqIwMAoy20,,
64,"JUNE 07, 2018",TEX,0,5,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530337&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - JUNE 07, 2018",https://www.youtube.com/watch?v=qyAULWWp5Wo,,
65,"JUNE 08, 2018",TEX,0,7,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530348&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - JUNE 08, 2018",https://www.youtube.com/watch?v=bRR2CkQhSXY,,
66,"JUNE 09, 2018",TEX,0,4,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530363&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_455119&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - JUNE 09, 2018",https://www.youtube.com/watch?v=T-F14T6dx60,,
67,"JUNE 10, 2018",TEX,0,8,7,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530378&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - JUNE 10, 2018",https://www.youtube.com/watch?v=AQbbuGFM2-s,,
68,"JUNE 12, 2018",OAK,0,6,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530401&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_433586&view=Umpire&coloring=Pitch%20Type,"HOU AT OAK - JUNE 12, 2018",https://www.youtube.com/watch?v=V5PN98f794o,,
