Calibrated,Energy Transfer,RIXS
11703.9,135.15,1.8960191497934128e-07
11704.1,135.35,7.87170382242066e-08
11704.3,135.55,2.51961560114485e-07
11704.5,135.75,2.0466429938293715e-07
11704.7,135.95,2.3611970324475695e-07
11704.9,136.15,2.6746002652574147e-07
11705.1,136.35,1.8909698311521523e-07
11705.3,136.55,1.736858102640419e-07
11705.5,136.75,2.9940355659909076e-07
11567.75,-0.75,5.836946169534428e-06
11568.0,-0.5,1.0150823028731169e-05
11568.25,-0.25,1.688171409054504e-05
11568.5,0.0,2.4579391271027994e-05
11568.75,0.25,3.062812558746414e-05
11569.0,0.5,2.9472342882349258e-05
11569.25,0.75,2.472241436593988e-05
11569.5,1.0,1.703498219231009e-05
11569.75,1.25,8.776504668788688e-06
11570.0,1.5,4.271066539338093e-06
11570.25,1.75,1.4082976156736416e-06
11570.5,2.0,6.234277930344413e-07
11570.75,2.25,4.615526951134978e-07
11571.0,2.5,2.770421539030114e-07
11571.25,2.75,1.155110742430565e-07
11571.5,3.0,3.6914396644684373e-07
11571.75,3.25,3.6934039798413085e-07
11572.0,3.5,3.0040878472006304e-07
11572.25,3.75,3.463026923787643e-07
11572.5,4.0,5.540105969761964e-07
11572.75,4.25,7.164548225313671e-07
11573.0,4.5,5.310681199923018e-07
11573.25,4.75,6.236767657952378e-07
11573.5,5.0,9.243347222155785e-07
11573.75,5.25,7.62373090004173e-07
11574.0,5.5,6.69785882618084e-07
11574.25,5.75,6.933433766432584e-07
11574.5,6.0,4.388252334394344e-07
11574.75,6.25,4.3888365000405626e-07
11575.0,6.5,5.312094931108942e-07
11575.25,6.75,2.3139183321498796e-07
11575.5,7.0,3.4653322272916954e-07
11575.75,7.25,2.778183894242874e-07
11576.0,7.5,4.62044296972226e-08
11576.25,7.75,1.1557262270408917e-07
11576.5,8.0,1.6186635795514876e-07
11576.75,8.25,1.1578855980776692e-07
11577.0,8.5,1.6173703729632975e-07
11577.25,8.75,2.5382022513392475e-07
11577.5,9.0,2.0822488287350336e-07
11577.75,9.25,1.6175857638772624e-07
11578.0,9.5,1.387980821713794e-07
11578.25,9.75,2.7767019985798556e-07
11578.5,10.0,1.6169397631728386e-07
11578.75,10.25,2.7726349250799387e-07
11579.0,10.5,2.542259047691948e-07
11579.25,10.75,4.85469684290742e-07
11579.5,11.0,3.9299926823536253e-07
11579.75,11.25,2.5388774847128414e-07
11580.0,11.5,2.0825264989348916e-07
11580.25,11.75,2.542259047691948e-07
11580.5,12.0,3.234740745926595e-07
11580.75,12.25,2.0825264989348916e-07
11581.0,12.5,3.4699520542844853e-07
11581.25,12.75,1.6210398373087365e-07
11581.5,13.0,1.3859483684338617e-07
11581.75,13.25,2.3108368055389463e-07
11582.0,13.5,1.8494083211075884e-07
11582.25,13.75,9.249506168865644e-08
11700.5,132.0,2.07671093291393e-07
11700.7,132.2,2.535504905694891e-07
11700.9,132.4,3.457047464362853e-07
11701.1,132.6,1.1544959130267431e-07
11701.3,132.8,2.3142269368887638e-07
11701.5,133.0,4.1845836590334285e-07
11701.7,133.2,1.6374294285460184e-07
11701.9,133.4,3.046690389604205e-07
11702.1,133.6,2.1044153369509167e-07
11702.3,133.8,1.6219056617645032e-07
11702.5,134.0,3.6953703868583947e-07
11702.7,134.2,4.85469684290742e-07
11702.9,134.4,1.8570781081248907e-07
11703.1,134.6,3.957939765697882e-07
11703.3,134.8,2.576576799415651e-07
11703.5,135.0,2.8043755269158705e-07
11703.7,135.2,1.8568297028134774e-07
11703.9,135.4,2.532477236310355e-07
11704.1,135.6,2.526109175499093e-07
11704.3,135.8,2.5297920384454796e-07
11704.5,136.0,2.9877742575668255e-07
11704.7,136.2,2.5271125288059237e-07
11704.9,136.4,2.985401752862564e-07
11705.1,136.6,2.9869830037909867e-07
11705.3,136.8,2.5284515737277973e-07
11705.5,137.0,2.068185169581877e-07
11567.5,-0.75,3.0817099283071e-06
11567.75,-0.5,7.247212463966462e-06
11568.0,-0.25,1.1674961448800769e-05
11568.25,0.0,1.67998981997658e-05
11568.5,0.25,2.1398163541781192e-05
11568.75,0.5,2.0885338421025575e-05
11569.0,0.75,1.706033742844986e-05
11569.25,1.0,1.0628319214157573e-05
