Excitation,Energy Transfer,Intensity
11580.0,11.25,2.6932186339044536e-07
11580.25,11.5,2.3776425515591784e-07
11580.5,11.75,2.849735805743009e-07
11580.75,12.0,2.2179447573330804e-07
11581.0,12.25,2.5347940083806627e-07
11581.25,12.5,2.852025056624581e-07
11581.5,12.75,2.851643259428246e-07
11581.75,13.0,2.8539355771609047e-07
11582.0,13.0,1.9008410429597994e-07
11582.25,13.0,1.424105839545995e-07
11582.5,13.0,1.5836102671788066e-07
11567.75,1.0,5.836946169534428e-06
11568.0,1.0,1.0150823028731167e-05
11568.25,1.0,1.688171409054504e-05
11568.5,1.0,2.4579391271027994e-05
11568.75,1.0,3.062812558746414e-05
11569.0,1.0,2.9472342882349255e-05
11569.25,1.0,2.472241436593988e-05
11569.5,1.0,1.703498219231009e-05
11569.75,1.25,8.776504668788688e-06
11570.0,1.5,4.271066539338093e-06
11570.25,1.75,1.4082976156736416e-06
11570.5,2.0,6.234277930344414e-07
11570.75,2.25,4.6155269511349784e-07
11571.0,2.5,2.770421539030114e-07
11571.25,2.75,1.1551107424305651e-07
11571.5,3.0,3.691439664468437e-07
11571.75,3.25,3.6934039798413096e-07
11572.0,3.5,3.004087847200631e-07
11572.25,3.75,3.463026923787643e-07
11572.5,4.0,5.540105969761964e-07
11572.75,4.25,7.16454822531367e-07
11573.0,4.5,5.310681199923017e-07
11573.25,4.75,6.236767657952378e-07
11573.5,5.0,9.243347222155785e-07
11573.75,5.25,7.62373090004173e-07
11574.0,5.5,6.697858826180839e-07
11574.25,5.75,6.933433766432584e-07
11574.5,6.0,4.388252334394343e-07
11574.75,6.25,4.3888365000405626e-07
11575.0,6.5,5.312094931108942e-07
11575.25,6.75,2.31391833214988e-07
11575.5,7.0,3.465332227291695e-07
11575.75,7.25,2.7781838942428734e-07
11576.0,7.5,4.620442969722259e-08
11576.25,7.75,1.1557262270408914e-07
11576.5,8.0,1.6186635795514874e-07
11576.75,8.25,1.1578855980776694e-07
11577.0,8.5,1.6173703729632973e-07
11577.25,8.75,2.5382022513392475e-07
11577.5,9.0,2.0822488287350336e-07
11577.75,9.25,1.6175857638772627e-07
11578.0,9.5,1.387980821713794e-07
11578.25,9.75,2.776701998579856e-07
11578.5,10.0,1.6169397631728384e-07
11578.75,10.25,2.7726349250799387e-07
11579.0,10.5,2.542259047691948e-07
11579.25,10.75,4.85469684290742e-07
11579.5,11.0,3.929992682353625e-07
11579.75,11.25,2.538877484712841e-07
11580.0,11.5,2.082526498934892e-07
11580.25,11.75,2.542259047691948e-07
11580.5,12.0,3.2347407459265946e-07
11580.75,12.25,2.082526498934892e-07
11581.0,12.5,3.4699520542844853e-07
11581.25,12.75,1.6210398373087365e-07
11581.5,13.0,1.3859483684338614e-07
11581.75,13.0,2.3108368055389465e-07
11582.0,13.0,1.849408321107589e-07
11582.25,13.0,9.249506168865645e-08
11567.5,1.0,3.0817099283071e-06
11567.75,1.0,7.247212463966463e-06
11568.0,1.0,1.1674961448800767e-05
11568.25,1.0,1.67998981997658e-05
11568.5,1.0,2.1398163541781192e-05
11568.75,1.0,2.0885338421025575e-05
11569.0,1.0,1.706033742844986e-05
11569.25,1.0,1.0628319214157573e-05
11569.5,1.25,5.950238866389053e-06
11569.75,1.5,3.258900056053081e-06
11570.0,1.75,1.2321883203492482e-06
11570.25,2.0,4.570408615196394e-07
11570.5,2.25,4.3775616694969597e-07
11570.75,2.5,2.3826451936328092e-07
11571.0,2.75,2.5860469320571474e-07
11571.25,3.0,3.3808465576140805e-07
11571.5,3.25,3.185391032232335e-07
11571.75,3.5,3.779607054545061e-07
