YEAR,BRAND,MAKE,TRIM,PRICE,MILES,SHIP,PAGE,ENTRY
2017,JEEP,PATRIOT,Latitude,"17,000","29,328 miles",Free Shipping,77,18
2017,FORD,ESCAPE,SE,"16,000","42,888 miles",Free Shipping,77,19
2017,BUICK,ENCORE,Preferred II,"16,200","28,094 miles",Free Shipping,77,20
2017,CHEVROLET,CRUZE,LT,"14,500","26,171 miles",Free Shipping,78,1
2018,CHEVROLET,EQUINOX,LT,"19,600","23,353 miles",Free Shipping,78,2
2018,DODGE,JOURNEY,GT,"19,400","23,724 miles",Free Shipping,78,3
2017,FORD,ESCAPE,Titanium,"17,400","35,725 miles",Free Shipping,78,4
2018,JEEP,COMPASS,Limited,"21,200","15,780 miles",Free Shipping,78,5
2017,DODGE,JOURNEY,GT,"20,200","19,291 miles",Free Shipping,78,6
2018,JEEP,COMPASS,Limited,"21,400","17,099 miles",Free Shipping,78,7
2018,CHEVROLET,IMPALA,LT,"19,800","21,454 miles",Free Shipping,78,8
2016,JEEP,WRANGLER,Unlimited Sport,"25,600","48,587 miles",Shipping: $200,78,9
2016,CHEVROLET,CRUZE,LT,"15,200","13,558 miles",Free Shipping,78,10
2011,MERCEDES-BEN...,E-CLASS,E 350 4MATIC,"15,900","84,083 miles",Free Shipping,78,11
2017,CHEVROLET,EQUINOX,LT,"16,900","30,808 miles",Free Shipping,78,12
2018,JEEP,COMPASS,Limited,"21,500","20,980 miles",Free Shipping,78,13
2017,DODGE,JOURNEY,GT,"19,500","24,184 miles",Free Shipping,78,14
2017,FORD,EDGE,SEL,"20,700","43,921 miles",Free Shipping,78,15
2014,HONDA,CIVIC,LX,"13,800","46,091 miles",Free Shipping,78,16
2018,JEEP,COMPASS,Limited,"20,900","17,591 miles",Free Shipping,78,17
2015,LEXUS,IS,IS 250,"20,800","39,920 miles",Free Shipping,78,18
2017,JEEP,PATRIOT,High Altitude Edition,"16,400","26,744 miles",Free Shipping,78,19
2017,JEEP,CHEROKEE,Overland,"22,600","31,794 miles",Shipping: $200,78,20
2017,HYUNDAI,SANTA FE,SE,"16,800","73,262 miles",Free Shipping,79,1
2017,BUICK,ENVISION,Essence,"21,400","27,315 miles",Shipping: $300,79,2
2015,FORD,TAURUS,SEL,"15,600","51,696 miles",Free Shipping,79,3
2017,CHEVROLET,CRUZE,LT,"15,400","20,335 miles",Free Shipping,79,4
2016,CHEVROLET,CRUZE LIMITED,1LT,"12,500","49,118 miles",Free Shipping,79,5
2017,FORD,ESCAPE,SE,"17,400","18,038 miles",Free Shipping,79,6
2017,JEEP,PATRIOT,High Altitude Edition,"17,400","28,096 miles",Free Shipping,79,7
2017,BUICK,ENCORE,Preferred II,"16,000","29,272 miles",Free Shipping,79,8
2018,FORD,FOCUS,SE,"13,500","39,645 miles",Free Shipping,79,9
2017,VOLKSWAGEN,TIGUAN,2.0T Wolfsburg Edition,"17,500","31,780 miles",Shipping: $200,79,10
2017,FORD,ESCAPE,Titanium,"19,400","23,258 miles",Free Shipping,79,11
2013,FORD,F150 SUPERCREW CA...,Lariat 5 1/2 Ft,"29,900","34,804 miles",Free Shipping,79,12
2013,HONDA,CR-V,LX,"14,600","80,710 miles",Free Shipping,79,13
2017,HYUNDAI,SONATA,Sport,"17,700","15,651 miles",Free Shipping,79,14
2013,JEEP,WRANGLER,Unlimited Sport,"24,400","54,556 miles",Shipping: $200,79,15
2017,TOYOTA,TACOMA DOUBLE CAB,SR5 5 Ft,"24,000","29,680 miles",Free Shipping,79,16
2018,DODGE,JOURNEY,SXT,"17,500","42,137 miles",Free Shipping,79,17
2018,DODGE,JOURNEY,GT,"21,200","18,243 miles",Shipping: $300,79,18
2017,CHEVROLET,MALIBU,LT,"17,100","14,366 miles",Free Shipping,79,19
2017,BUICK,ENCORE,Sport Touring,"18,400","19,642 miles",Shipping: $300,79,20
2017,CHEVROLET,TRAVERSE,LT,"21,200","30,752 miles",Free Shipping,80,1
2017,TOYOTA,RAV4,LE,"18,500","26,428 miles",Free Shipping,80,2
2017,TOYOTA,RAV4,LE,"19,200","25,078 miles",Free Shipping,80,3
2016,BUICK,ENCORE,Encore,"14,800","29,506 miles",Free Shipping,80,4
2018,HYUNDAI,ELANTRA,SE,"14,200","19,337 miles",Shipping: $300,80,5
2018,KIA,SORENTO,LX,"19,100","20,093 miles",Free Shipping,80,6
2017,MAZDA,CX-5,Touring,"22,100","35,325 miles",Free Shipping,80,7
2017,CHEVROLET,MALIBU,LT,"16,600","19,646 miles",Free Shipping,80,8
2017,CHEVROLET,EQUINOX,LS,"16,200","22,371 miles",Free Shipping,80,9
2018,CHEVROLET,EQUINOX,LT,"19,800","13,370 miles",Shipping: $300,80,10
2017,JEEP,PATRIOT,High Altitude Edition,"17,900","17,261 miles",Free Shipping,80,11
2015,LEXUS,RX,RX 350,"22,400","82,147 miles",Shipping: $200,80,12
2016,DODGE,DURANGO,SXT,"23,100","47,569 miles",Free Shipping,80,13
2019,HYUNDAI,TUCSON,SE,"19,800","11,661 miles",Free Shipping,80,14
2017,KIA,SPORTAGE,LX,"17,700","19,374 miles",Free Shipping,80,15
2017,CHEVROLET,EQUINOX,LS,"16,800","14,574 miles",Free Shipping,80,16
2014,HYUNDAI,SANTA FE SPORT,Santa Fe Sport,"15,100","65,563 miles",Free Shipping,80,17
2017,KIA,FORTE5,LX,"13,500","30,484 miles",Free Shipping,80,18
2017,JEEP,PATRIOT,High Altitude Edition,"18,000","23,795 miles",Free Shipping,80,19
2017,FORD,FOCUS,ST,"19,700","16,110 miles",Free Shipping,80,20
2017,NISSAN,VERSA NOTE,S Plus,"11,900","38,718 miles",Free Shipping,81,1
2012,CHEVROLET,CAMARO,LT,"18,000","46,755 miles",Free Shipping,81,2
2017,RAM,1500 CREW CAB,SLT 6 1/3 Ft,"25,700","20,358 miles",Free Shipping,81,3
2012,HONDA,CR-V,EX-L,"16,500","63,906 miles",Free Shipping,81,4
2019,NISSAN,ROGUE,SV,"21,400","28,267 miles",Shipping: $300,81,5
2017,NISSAN,ROGUE,SV,"17,400","42,620 miles",Free Shipping,81,6
2014,TOYOTA,CAMRY,L,"13,900","47,354 miles",Free Shipping,81,7
2017,FORD,ESCAPE,SE,"15,900","27,716 miles",Free Shipping,81,8
2016,BMW,3 SERIES,335i Gran Turismo XDrive,"22,900","52,818 miles",Free Shipping,81,9
2018,JEEP,GRAND CHEROKEE,Limited,"31,800","5,945 miles",Free Shipping,81,10
2017,CHEVROLET,TRAVERSE,LT,"19,300","43,043 miles",Free Shipping,81,11
2018,CHEVROLET,MALIBU,LS,"15,600","28,749 miles",Free Shipping,81,12
2017,BUICK,ENCLAVE,Leather,"23,300","34,289 miles",Free Shipping,81,13
2017,BUICK,ENCORE,Preferred II,"16,000","33,218 miles",Shipping: $200,81,14
2016,BUICK,ENCORE,Encore,"15,500","13,772 miles",Free Shipping,81,15
2017,FORD,ESCAPE,SE,"16,600","21,797 miles",Free Shipping,81,16
2019,KIA,FORTE,LXS,"16,400","9,652 miles",Free Shipping,81,17
2018,HYUNDAI,TUCSON,SEL,"16,700","41,408 miles",Shipping: $300,81,18
2017,CHEVROLET,EQUINOX,LT,"16,700","33,834 miles",Free Shipping,81,19
2015,FORD,ESCAPE,Titanium,"15,600","34,461 miles",Shipping: $300,81,20
2018,CHEVROLET,EQUINOX,LS,"18,400","10,426 miles",Free Shipping,82,1
2017,FORD,FOCUS,SE,"13,700","22,529 miles",Free Shipping,82,2
2016,CHEVROLET,TRAX,LT,"15,800","20,420 miles",Free Shipping,82,3
2015,VOLKSWAGEN,PASSAT,TDI SE,"13,800","40,366 miles",Free Shipping,82,4
2017,NISSAN,ROGUE,S,"16,600","51,929 miles",Free Shipping,82,5
2017,NISSAN,ROGUE,SV,"16,300","32,986 miles",Free Shipping,82,6
2017,CHEVROLET,EQUINOX,LS,"17,000","30,996 miles",Free Shipping,82,7
2018,DODGE,JOURNEY,GT,"19,900","18,100 miles",Free Shipping,82,8
2017,BUICK,ENCORE,Preferred II,"17,000","41,782 miles",Free Shipping,82,9
2017,LINCOLN,CONTINENTAL,Reserve,"28,300","41,327 miles",Free Shipping,82,10
2015,ACURA,ILX,ILX,"15,400","58,737 miles",Shipping: $300,82,11
2016,HYUNDAI,SONATA,SE,"14,000","49,276 miles",Free Shipping,82,12
2018,CHEVROLET,EQUINOX,LT,"18,600","16,368 miles",Free Shipping,82,13
2016,JEEP,GRAND CHEROKEE,Laredo,"19,900","20,500 miles",Shipping: $300,82,14
2017,CADILLAC,XT5,Luxury,"26,700","31,648 miles",Free Shipping,82,15
2017,FORD,ESCAPE,SE,"14,900","47,933 miles",Free Shipping,82,16
2014,VOLKSWAGEN,PASSAT,TDI SE,"14,200","41,110 miles",Shipping: $200,82,17
2018,CHEVROLET,EQUINOX,LS,"16,900","22,100 miles",Free Shipping,82,18
2018,FORD,TAURUS,SE,"16,300","23,209 miles",Free Shipping,82,19
2018,JEEP,COMPASS,Limited,"22,200","13,486 miles",Free Shipping,82,20
2017,BUICK,ENCLAVE,Leather,"23,700","30,632 miles",Free Shipping,83,1
2017,BUICK,ENCLAVE,Leather,"25,000","28,670 miles",Free Shipping,83,2
2017,CHEVROLET,EQUINOX,LT,"16,900","35,779 miles",Free Shipping,83,3
2017,FORD,ESCAPE,Titanium,"20,800","32,444 miles",Free Shipping,83,4
2017,FORD,ESCAPE,SE,"17,400","10,527 miles",Free Shipping,83,5
2017,FORD,ESCAPE,SE,"16,900","24,665 miles",Free Shipping,83,6
2016,CHEVROLET,EQUINOX,LT,"16,200","30,707 miles",Free Shipping,83,7
2018,DODGE,JOURNEY,GT,"19,000","16,354 miles",Free Shipping,83,8
2017,INFINITI,QX60,3.5,"24,900","44,273 miles",Shipping: $300,83,9
2017,FORD,ESCAPE,SE,"17,900","16,581 miles",Free Shipping,83,10
2017,FORD,ESCAPE,SE,"17,900","29,418 miles",Free Shipping,83,11
2019,KIA,RIO,S,"14,100","14,951 miles",Free Shipping,83,12
2017,JEEP,WRANGLER UNLIMITE...,Winter,"31,200","17,377 miles",Free Shipping,83,13
2017,CHEVROLET,EQUINOX,LT,"19,200","24,650 miles",Free Shipping,83,14
2017,BUICK,ENCORE,Preferred,"16,600","22,123 miles",Free Shipping,83,15
2014,CHEVROLET,TRAVERSE,LT,"18,200","40,678 miles",Shipping: $200,83,16
2018,JEEP,COMPASS,Limited,"23,200","19,977 miles",Free Shipping,83,17
2018,JEEP,COMPASS,Limited,"22,400","50,000 miles",Free Shipping,83,18
2018,DODGE,GRAND CARAVAN PAS...,SE,"16,600","35,383 miles",Free Shipping,83,19
2017,FORD,ESCAPE,Titanium,"19,900","14,992 miles",Free Shipping,83,20
2017,KIA,SPORTAGE,LX,"15,200","41,771 miles",Free Shipping,84,1
2013,CHRYSLER,200,Limited,"17,000","14,559 miles",Shipping: $200,84,2
2017,CHEVROLET,EQUINOX,LT,"17,700","20,120 miles",Free Shipping,84,3
2018,CHEVROLET,SPARK,1LT,"13,600","33,307 miles",Free Shipping,84,4
2017,BUICK,ENCORE,Preferred II,"16,700","20,573 miles",Free Shipping,84,5
2018,CHEVROLET,EQUINOX,LT,"16,600","42,919 miles",Free Shipping,84,6
2017,CHEVROLET,TRAVERSE,LT,"20,000","45,725 miles",Free Shipping,84,7
2017,GMC,TERRAIN,SLE-1,"16,600","29,493 miles",Free Shipping,84,8
2017,CADILLAC,XT5,Luxury,"28,000","26,696 miles",Free Shipping,84,9
2017,JEEP,COMPASS,Latitude,"17,200","22,715 miles",Free Shipping,84,10
2017,CADILLAC,XT5,Luxury,"27,000","33,088 miles",Free Shipping,84,11
2017,BUICK,REGAL,Premium II,"19,100","15,719 miles",Free Shipping,84,12
2017,JEEP,COMPASS,High Altitude Edition,"15,800","32,323 miles",Free Shipping,84,13
2017,NISSAN,ROGUE,SV,"17,300","42,604 miles",Free Shipping,84,14
2017,BUICK,ENCORE,Premium,"18,600","25,765 miles",Free Shipping,84,15
2016,MAZDA,CX-5,Touring,"18,100","31,734 miles",Free Shipping,84,16
2017,VOLKSWAGEN,BEETLE,1.8T S,"14,400","46,296 miles",Free Shipping,84,17
2016,VOLKSWAGEN,TIGUAN,2.0T S,"14,800","31,687 miles",Shipping: $200,84,18
2017,FORD,ESCAPE,Titanium,"18,800","22,245 miles",Free Shipping,84,19
2017,JEEP,COMPASS,High Altitude Edition,"16,400","27,502 miles",Free Shipping,84,20
2017,GMC,TERRAIN,SLE-2,"19,100","33,817 miles",Shipping: $200,85,1
2017,HONDA,CR-V,EX-L,"24,700","28,196 miles",Shipping: $200,85,2
2016,VOLKSWAGEN,TIGUAN,2.0T S,"13,200","60,406 miles",Free Shipping,85,3
2015,HONDA,CIVIC,EX,"14,200","62,909 miles",Free Shipping,85,4
2016,TOYOTA,COROLLA,LE,"14,900","30,769 miles",Shipping: $300,85,5
2017,GMC,ACADIA LIMITED,Acadia Limited,"23,800","38,759 miles",Shipping: $300,85,6
2017,FORD,ESCAPE,SE,"15,300","39,379 miles",Free Shipping,85,7
2016,CHEVROLET,MALIBU,LT,"15,600","23,895 miles",Free Shipping,85,8
2013,KIA,OPTIMA,EX,"13,600","68,737 miles",Free Shipping,85,9
2017,FORD,FUSION,SE,"15,600","23,296 miles",Free Shipping,85,10
2017,CHEVROLET,CRUZE,LT,"14,900","18,548 miles",Free Shipping,85,11
2017,JEEP,COMPASS,High Altitude Edition,"17,200","28,200 miles",Free Shipping,85,12
2016,BUICK,ENCORE,Convenience,"14,900","32,377 miles",Free Shipping,85,13
2018,JEEP,COMPASS,Limited,"20,500","27,225 miles",Free Shipping,85,14
2012,TOYOTA,CAMRY,LE,"14,500","59,300 miles",Shipping: $200,85,15
2017,VOLKSWAGEN,TIGUAN,2.0T Wolfsburg Edition,"18,400","39,361 miles",Free Shipping,85,16
2017,CHEVROLET,EQUINOX,LT,"18,400","24,157 miles",Free Shipping,85,17
2019,KIA,OPTIMA,LX,"17,100","23,380 miles",Free Shipping,85,18
2019,NISSAN,ROGUE,SV,"19,300","44,918 miles",Shipping: $300,85,19
2018,BUICK,ENCORE,Preferred,"17,600","9,796 miles",Free Shipping,85,20
2019,CHEVROLET,EQUINOX,LT,"21,700","7,935 miles",Free Shipping,86,1
2017,FORD,ESCAPE,Titanium,"20,700","32,524 miles",Free Shipping,86,2
2016,CHEVROLET,EQUINOX,LT,"15,800","45,674 miles",Shipping: $200,86,3
2016,CHEVROLET,EQUINOX,LT,"15,700","59,056 miles",Free Shipping,86,4
2018,CHEVROLET,MALIBU,LT,"17,500","14,728 miles",Free Shipping,86,5
2017,FORD,ESCAPE,SE,"16,700","34,225 miles",Free Shipping,86,6
2017,CHEVROLET,TRAVERSE,LT,"21,800","32,195 miles",Free Shipping,86,7
2017,FORD,FUSION,SE,"15,800","21,274 miles",Free Shipping,86,8
2018,NISSAN,SENTRA,SV,"13,100","46,189 miles",Shipping: $300,86,9
2017,JEEP,CHEROKEE,Latitude,"18,900","29,036 miles",Free Shipping,86,10
2017,NISSAN,ROGUE SPORT,SV,"16,900","27,853 miles",Free Shipping,86,11
2016,KIA,SORENTO,L,"16,600","24,810 miles",Shipping: $300,86,12
2017,VOLKSWAGEN,TIGUAN,2.0T S 4Motion,"15,400","44,860 miles",Shipping: $300,86,13
2017,HYUNDAI,TUCSON,Eco,"19,800","24,566 miles",Free Shipping,86,14
2019,CHEVROLET,EQUINOX,LT,"20,000","19,853 miles",Free Shipping,86,15
2017,FORD,ESCAPE,SE,"16,000","22,613 miles",Free Shipping,86,16
2017,NISSAN,ROGUE,SV,"19,900","5,411 miles",Free Shipping,86,17
2017,FORD,ESCAPE,SE,"14,900","52,561 miles",Free Shipping,86,18
2019,FORD,FUSION,SEL,"17,200","37,044 miles",Free Shipping,86,19
2017,FORD,ESCAPE,SE,"16,400","17,641 miles",Free Shipping,86,20
2018,JEEP,RENEGADE,Altitude,"18,500",28 miles,Shipping: $300,87,1
2017,KIA,SORENTO,LX,"17,600","36,486 miles",Free Shipping,87,2
2017,FORD,FUSION,SE,"14,900","58,277 miles",Free Shipping,87,3
2017,FORD,ESCAPE,Titanium,"19,900","27,110 miles",Free Shipping,87,4
2017,CHEVROLET,EQUINOX,Premier,"19,400","20,857 miles",Free Shipping,87,5
2017,NISSAN,ROGUE,SV,"18,400","25,641 miles",Free Shipping,87,6
2016,NISSAN,ROGUE,SL,"18,600","38,365 miles",Free Shipping,87,7
2019,CHEVROLET,EQUINOX,LT,"19,900","18,868 miles",Free Shipping,87,8
2019,KIA,SORENTO,LX,"21,800","13,962 miles",Free Shipping,87,9
2016,NISSAN,ROGUE,SL,"16,200","44,833 miles",Free Shipping,87,10
2017,FORD,FUSION,SE,"16,600","10,541 miles",Free Shipping,87,11
2017,FORD,FUSION,SE,"14,200","48,717 miles",Free Shipping,87,12
2018,BUICK,ENCORE,Preferred,"16,700","17,212 miles",Free Shipping,87,13
2017,FORD,ESCAPE,Titanium,"17,800","29,143 miles",Free Shipping,87,14
2017,FORD,ESCAPE,SE,"16,600","10,277 miles",Free Shipping,87,15
2013,MAZDA,MAZDA3,I Grand Touring,"12,800","95,029 miles",Free Shipping,87,16
2015,HONDA,ACCORD,Sport,"14,900","75,804 miles",Shipping: $200,87,17
2017,FORD,EXPLORER,XLT,"23,800","48,983 miles",Free Shipping,87,18
2017,JEEP,PATRIOT,High Altitude Edition,"17,300","25,295 miles",Free Shipping,87,19
2019,KIA,SORENTO,LX,"22,900","12,913 miles",Shipping: $200,87,20
2015,VOLKSWAGEN,PASSAT,TDI SE,"15,400","23,462 miles",Free Shipping,88,1
2015,MERCEDES-BEN...,GLA-CLASS,GLA 250 4MATIC,"22,500","34,128 miles",Free Shipping,88,2
2014,NISSAN,ALTIMA,2.5 SL,"16,100","34,573 miles",Shipping: $200,88,3
2013,VOLVO,XC60,3.2,"15,500","72,049 miles",Free Shipping,88,4
2017,KIA,SPORTAGE,EX,"17,600","39,194 miles",Free Shipping,88,5
2019,KIA,OPTIMA,S,"17,000","20,180 miles",Free Shipping,88,6
2017,HYUNDAI,TUCSON,Sport,"17,300","41,278 miles",Free Shipping,88,7
2016,BUICK,ENCLAVE,Leather,"19,600","65,280 miles",Shipping: $300,88,8
2017,HYUNDAI,TUCSON,Eco,"14,900","54,291 miles",Free Shipping,88,9
2017,FORD,ESCAPE,Titanium,"18,500","30,632 miles",Free Shipping,88,10
2017,FORD,ESCAPE,Titanium,"17,900","36,766 miles",Free Shipping,88,11
2017,CHEVROLET,MALIBU,LT,"16,300","23,782 miles",Free Shipping,88,12
2017,KIA,SPORTAGE,LX,"15,900","20,967 miles",Free Shipping,88,13
2017,JEEP,COMPASS,High Altitude Edition,"16,500","20,470 miles",Free Shipping,88,14
2017,JEEP,PATRIOT,Latitude,"17,400","25,406 miles",Free Shipping,88,15
2016,BUICK,ENCORE,Encore,"15,300","18,884 miles",Shipping: $300,88,16
2017,BUICK,ENCORE,Essence,"19,300","2,388 miles",Shipping: $200,88,17
2017,CHEVROLET,EQUINOX,LT,"17,700","21,196 miles",Free Shipping,88,18
2017,FORD,ESCAPE,Titanium,"20,600","19,348 miles",Free Shipping,88,19
2017,NISSAN,ROGUE,SV,"18,000","38,461 miles",Free Shipping,88,20
2017,NISSAN,ROGUE,SV,"17,400","36,507 miles",Free Shipping,89,1
2017,NISSAN,SENTRA,SV,"13,200","36,127 miles",Free Shipping,89,2
2018,NISSAN,VERSA,S Plus,"13,100","11,947 miles",Free Shipping,89,3
2017,CHEVROLET,EQUINOX,LT,"17,300","43,050 miles",Free Shipping,89,4
2014,JEEP,WRANGLER,Sahara,"26,700","22,303 miles",Shipping: $300,89,5
2017,FORD,ESCAPE,SE,"16,500","21,219 miles",Free Shipping,89,6
2018,FORD,ESCAPE,SE,"15,800","33,769 miles",Free Shipping,89,7
2017,FORD,ESCAPE,Titanium,"17,700","35,495 miles",Free Shipping,89,8
2017,LEXUS,NX,200t,"24,900","34,692 miles",Shipping: $200,89,9
2018,CHEVROLET,EQUINOX,LT,"18,000","26,026 miles",Free Shipping,89,10
2017,CHEVROLET,TRAX,LT,"14,300","36,400 miles",Free Shipping,89,11
2017,CHEVROLET,CRUZE,LT,"14,900","23,534 miles",Free Shipping,89,12
2017,KIA,NIRO,FE,"17,600","31,126 miles",Free Shipping,89,13
2016,MINI,HARDTOP 2 DOOR,Cooper,"16,000","20,040 miles",Shipping: $300,89,14
2019,KIA,OPTIMA,LX,"17,800","17,654 miles",Free Shipping,89,15
2017,FORD,ESCAPE,Titanium,"17,400","25,952 miles",Free Shipping,89,16
2018,NISSAN,ALTIMA,2.5 S,"15,500","36,792 miles",Free Shipping,89,17
2017,FORD,ESCAPE,SE,"17,500","21,926 miles",Free Shipping,89,18
2017,BUICK,ENVISION,Essence,"20,700","37,544 miles",Free Shipping,89,19
2017,TOYOTA,TUNDRA DOUBLE CAB,SR5 6 1/2 Ft,"38,200","11,277 miles",Free Shipping,89,20
2018,CHEVROLET,EQUINOX,LT,"18,900","27,450 miles",Free Shipping,90,1
2019,NISSAN,ROGUE,SV,"21,400","32,074 miles",Free Shipping,90,2
2019,FORD,FUSION,SEL,"16,900","37,976 miles",Free Shipping,90,3
2019,FORD,FUSION,SEL Hybrid,"17,300","40,187 miles",Free Shipping,90,4
2017,BUICK,ENCORE,Preferred,"16,700","7,130 miles",Free Shipping,90,5
2017,NISSAN,ROGUE,SV,"14,900","43,858 miles",Free Shipping,90,6
2018,JEEP,COMPASS,Limited,"21,000","23,437 miles",Free Shipping,90,7
2017,FORD,FUSION,SE,"15,200","40,789 miles",Free Shipping,90,8
2017,VOLKSWAGEN,JETTA,1.4T S,"13,900","20,000 miles",Free Shipping,90,9
2019,KIA,SORENTO,LX,"21,200","20,713 miles",Free Shipping,90,10
2018,NISSAN,ALTIMA,2.5 SV,"15,500","37,641 miles",Free Shipping,90,11
2016,BUICK,ENCORE,Encore,"14,400","30,150 miles",Shipping: $200,90,12
2017,CHEVROLET,EQUINOX,LS,"16,600","35,160 miles",Free Shipping,90,13
2019,KIA,OPTIMA,LX,"17,900","16,278 miles",Free Shipping,90,14
2017,FORD,ESCAPE,SE,"16,500","21,448 miles",Shipping: $200,90,15
2017,BUICK,ENCORE,Essence,"17,800","20,276 miles",Shipping: $300,90,16
2017,FORD,ESCAPE,SE,"15,900","29,644 miles",Free Shipping,90,17
2017,FORD,FUSION,SE,"14,900","35,641 miles",Free Shipping,90,18
2014,TESLA,MODEL S,P85D,"51,500","50,723 miles",Free Shipping,90,19
2016,BUICK,ENCORE,Leather,"14,900","40,773 miles",Free Shipping,90,20
2018,CHEVROLET,MALIBU,LT,"16,700","23,968 miles",Free Shipping,91,1
2016,CHEVROLET,TRAX,LS,"14,600","14,969 miles",Shipping: $200,91,2
2017,VOLKSWAGEN,TIGUAN,2.0T S,"16,500","20,178 miles",Free Shipping,91,3
2017,FORD,ESCAPE,SE,"15,900","29,135 miles",Free Shipping,91,4
2016,KIA,FORTE,LX,"12,200","35,503 miles",Free Shipping,91,5
2014,VOLKSWAGEN,GOLF,2.5L Hatchback,"11,500","80,433 miles",Free Shipping,91,6
2017,GMC,ACADIA,SLE-2,"24,000","23,698 miles",Shipping: $200,91,7
2017,CHEVROLET,EQUINOX,Premier,"19,900","19,385 miles",Shipping: $300,91,8
2016,BUICK,ENCORE,Convenience,"16,600","20,097 miles",Shipping: $300,91,9
2016,BUICK,CASCADA,Premium,"19,100","44,191 miles",Shipping: $200,91,10
2017,FORD,EDGE,SEL,"23,100","25,423 miles",Shipping: $300,91,11
2014,TOYOTA,TUNDRA DOUBLE CAB,SR5 6 1/2 Ft,"28,700","36,979 miles",Shipping: $200,91,12
2017,CHEVROLET,SONIC,LT,"14,100","15,210 miles",Free Shipping,91,13
2017,KIA,SORENTO,LX,"17,000","41,620 miles",Free Shipping,91,14
2017,FORD,EDGE,SEL,"21,200","41,105 miles",Free Shipping,91,15
2016,BUICK,ENCORE,Sport Touring,"14,900","35,249 miles",Free Shipping,91,16
2016,HYUNDAI,TUCSON,Limited,"17,600","41,445 miles",Free Shipping,91,17
2013,HYUNDAI,SANTA FE,Limited,"16,300","79,021 miles",Free Shipping,91,18
2013,VOLKSWAGEN,PASSAT,TDI SE,"12,100","77,723 miles",Free Shipping,91,19
2017,NISSAN,ROGUE,SV,"17,300","44,850 miles",Free Shipping,91,20
2017,VOLKSWAGEN,TIGUAN,2.0T Wolfsburg Edition 4M...,"18,400","23,364 miles",Free Shipping,92,1
2017,CHEVROLET,EQUINOX,LS,"16,700","29,669 miles",Shipping: $300,92,2
2017,CADILLAC,XT5,Luxury,"26,900","27,726 miles",Free Shipping,92,3
2017,FORD,ESCAPE,Titanium,"19,900","21,328 miles",Shipping: $300,92,4
2017,FORD,ESCAPE,Titanium,"18,800","40,051 miles",Free Shipping,92,5
2017,FORD,ESCAPE,Titanium,"17,500","25,050 miles",Free Shipping,92,6
2017,FORD,ESCAPE,Titanium,"19,900","25,704 miles",Shipping: $300,92,7
2017,FORD,ESCAPE,SE,"14,600","30,602 miles",Free Shipping,92,8
2017,CADILLAC,XT5,Luxury,"26,400","33,849 miles",Free Shipping,92,9
2015,CHEVROLET,SONIC,LT,"10,500","62,704 miles",Shipping: $300,92,10
2019,KIA,OPTIMA,LX,"18,400","10,510 miles",Free Shipping,92,11
2019,KIA,OPTIMA,LX,"18,600","8,690 miles",Free Shipping,92,12
2017,FORD,ESCAPE,SE,"15,000","33,054 miles",Free Shipping,92,13
2017,GMC,TERRAIN,SLT,"20,000","28,083 miles",Shipping: $300,92,14
2018,DODGE,JOURNEY,GT,"19,900","18,885 miles",Free Shipping,92,15
2014,HONDA,ACCORD,EX-L,"18,200","34,724 miles",Free Shipping,92,16
2018,CHEVROLET,EQUINOX,LT,"17,200","34,903 miles",Free Shipping,92,17
2017,LEXUS,RX,RX 350,"32,800","32,874 miles",Free Shipping,92,18
2017,NISSAN,ROGUE,S,"16,300","33,038 miles",Free Shipping,92,19
2019,KIA,OPTIMA,S,"17,400","16,335 miles",Free Shipping,92,20
2017,GMC,YUKON,SLE,"34,900","37,524 miles",Free Shipping,93,1
2017,BUICK,ENCLAVE,Leather,"25,100","41,680 miles",Free Shipping,93,2
2017,CADILLAC,XT5,Luxury,"24,900","36,709 miles",Free Shipping,93,3
2017,LEXUS,RX,RX 350,"33,400","36,598 miles",Free Shipping,93,4
2017,CHEVROLET,TRAVERSE,LT,"22,900","21,298 miles",Free Shipping,93,5
2012,JEEP,GRAND CHEROKEE,Overland,"23,000","25,393 miles",Shipping: $200,93,6
2018,BUICK,ENCORE,Preferred II,"17,600","32,305 miles",Free Shipping,93,7
2016,GMC,ACADIA,Denali,"26,700","29,800 miles",Free Shipping,93,8
2018,KIA,RIO,S,"13,700","39,033 miles",Shipping: $200,93,9
2017,LINCOLN,MKC,Select,"21,000","41,294 miles",Free Shipping,93,10
2019,JEEP,COMPASS,Limited,"23,900","15,896 miles",Free Shipping,93,11
2017,NISSAN,ROGUE,S,"17,500","17,362 miles",Free Shipping,93,12
2016,CHEVROLET,TRAX,LT,"16,700","11,300 miles",Free Shipping,93,13
2017,JEEP,WRANGLER UNLIMITE...,Sahara,"28,000","47,514 miles",Shipping: $200,93,14
2017,FORD,ESCAPE,SE,"15,900","25,255 miles",Free Shipping,93,15
2019,CHRYSLER,PACIFICA,Limited,"34,700","16,460 miles",Free Shipping,93,16
2017,FORD,ESCAPE,SE,"16,200","26,820 miles",Free Shipping,93,17
2019,TOYOTA,RAV4,XLE,"26,500","13,823 miles",Shipping: $200,93,18
2013,HONDA,CIVIC,LX,"12,200","91,137 miles",Free Shipping,93,19
2017,KIA,SORENTO,LX,"17,100","28,048 miles",Shipping: $200,93,20
2019,JEEP,CHEROKEE,Limited,"23,200","45,716 miles",Shipping: $300,94,1
