YEAR,BRAND,MAKE,TRIM,PRICE,MILES,SHIP,PAGE,ENTRY
2016,MAZDA,CX-5,Touring,"18,200","26,569 miles",Shipping: $300,1533,8
2016,HYUNDAI,TUCSON,SE,"14,800","51,203 miles",Free Shipping,1533,9
2018,DODGE,JOURNEY,Crossroad,"17,000","43,462 miles",Shipping: $300,1533,10
2017,CHEVROLET,EQUINOX,LT,"17,600","21,444 miles",Shipping: $300,1533,11
2018,NISSAN,ROGUE SPORT,S,"16,600","29,756 miles",Shipping: $300,1533,12
2017,HYUNDAI,ELANTRA,SE,"13,700","22,953 miles",Shipping: $200,1533,13
2016,HYUNDAI,TUCSON,SE,"15,200","39,854 miles",Shipping: $200,1533,14
2016,KIA,SOUL,+,"16,400","19,934 miles",Shipping: $200,1533,15
2017,TOYOTA,RAV4,LE,"18,900","32,962 miles",Free Shipping,1533,16
2018,CHEVROLET,EQUINOX,LT,"17,700","18,280 miles",Free Shipping,1533,17
2017,CHEVROLET,EQUINOX,LT,"16,900","22,727 miles",Shipping: $300,1533,18
2015,CHEVROLET,EQUINOX,LT,"15,600","41,078 miles",Free Shipping,1533,19
2018,HONDA,CR-V,EX-L,"26,700","18,591 miles",Free Shipping,1533,20
2018,BUICK,ENCORE,Preferred II,"17,300","15,828 miles",Shipping: $200,1534,1
2017,VOLKSWAGEN,TIGUAN,2.0T S,"15,100","31,330 miles",Shipping: $300,1534,2
2017,INFINITI,QX50,QX50,"23,200","28,041 miles",Shipping: $300,1534,3
2017,NISSAN,ROGUE,SV,"18,400","21,672 miles",Shipping: $300,1534,4
2017,CHEVROLET,TRAVERSE,LT,"22,700","38,250 miles",Free Shipping,1534,5
2018,CHEVROLET,EQUINOX,LT,"17,700","28,775 miles",Shipping: $200,1534,6
2017,FORD,ESCAPE,SE,"16,900","22,033 miles",Shipping: $200,1534,7
2016,MAZDA,CX-5,Touring,"18,200","26,569 miles",Shipping: $300,1534,8
2016,HYUNDAI,TUCSON,SE,"14,800","51,203 miles",Free Shipping,1534,9
2018,DODGE,JOURNEY,Crossroad,"17,000","43,462 miles",Shipping: $300,1534,10
2017,CHEVROLET,EQUINOX,LT,"17,600","21,444 miles",Shipping: $300,1534,11
2018,NISSAN,ROGUE SPORT,S,"16,600","29,756 miles",Shipping: $300,1534,12
2017,HYUNDAI,ELANTRA,SE,"13,700","22,953 miles",Shipping: $200,1534,13
2016,HYUNDAI,TUCSON,SE,"15,200","39,854 miles",Shipping: $200,1534,14
2016,KIA,SOUL,+,"16,400","19,934 miles",Shipping: $200,1534,15
2017,TOYOTA,RAV4,LE,"18,900","32,962 miles",Free Shipping,1534,16
2018,CHEVROLET,EQUINOX,LT,"17,700","18,280 miles",Free Shipping,1534,17
2017,CHEVROLET,EQUINOX,LT,"16,900","22,727 miles",Shipping: $300,1534,18
2015,CHEVROLET,EQUINOX,LT,"15,600","41,078 miles",Free Shipping,1534,19
2018,HONDA,CR-V,EX-L,"26,700","18,591 miles",Free Shipping,1534,20
2018,BUICK,ENCORE,Preferred II,"17,300","15,828 miles",Shipping: $200,1535,1
2017,VOLKSWAGEN,TIGUAN,2.0T S,"15,100","31,330 miles",Shipping: $300,1535,2
2017,INFINITI,QX50,QX50,"23,200","28,041 miles",Shipping: $300,1535,3
2017,NISSAN,ROGUE,SV,"18,400","21,672 miles",Shipping: $300,1535,4
2017,CHEVROLET,TRAVERSE,LT,"22,700","38,250 miles",Free Shipping,1535,5
2018,CHEVROLET,EQUINOX,LT,"17,700","28,775 miles",Shipping: $200,1535,6
2017,FORD,ESCAPE,SE,"16,900","22,033 miles",Shipping: $200,1535,7
2016,MAZDA,CX-5,Touring,"18,200","26,569 miles",Shipping: $300,1535,8
2016,HYUNDAI,TUCSON,SE,"14,800","51,203 miles",Free Shipping,1535,9
2018,DODGE,JOURNEY,Crossroad,"17,000","43,462 miles",Shipping: $300,1535,10
2017,CHEVROLET,EQUINOX,LT,"17,600","21,444 miles",Shipping: $300,1535,11
2018,NISSAN,ROGUE SPORT,S,"16,600","29,756 miles",Shipping: $300,1535,12
2017,HYUNDAI,ELANTRA,SE,"13,700","22,953 miles",Shipping: $200,1535,13
2016,HYUNDAI,TUCSON,SE,"15,200","39,854 miles",Shipping: $200,1535,14
2016,KIA,SOUL,+,"16,400","19,934 miles",Shipping: $200,1535,15
2017,TOYOTA,RAV4,LE,"18,900","32,962 miles",Free Shipping,1535,16
2018,CHEVROLET,EQUINOX,LT,"17,700","18,280 miles",Free Shipping,1535,17
2017,CHEVROLET,EQUINOX,LT,"16,900","22,727 miles",Shipping: $300,1535,18
2015,CHEVROLET,EQUINOX,LT,"15,600","41,078 miles",Free Shipping,1535,19
2018,HONDA,CR-V,EX-L,"26,700","18,591 miles",Free Shipping,1535,20
2018,BUICK,ENCORE,Preferred II,"17,300","15,828 miles",Shipping: $200,1536,1
2017,VOLKSWAGEN,TIGUAN,2.0T S,"15,100","31,330 miles",Shipping: $300,1536,2
2017,INFINITI,QX50,QX50,"23,200","28,041 miles",Shipping: $300,1536,3
2017,NISSAN,ROGUE,SV,"18,400","21,672 miles",Shipping: $300,1536,4
2017,CHEVROLET,TRAVERSE,LT,"22,700","38,250 miles",Free Shipping,1536,5
2018,CHEVROLET,EQUINOX,LT,"17,700","28,775 miles",Shipping: $200,1536,6
2017,FORD,ESCAPE,SE,"16,900","22,033 miles",Shipping: $200,1536,7
2016,MAZDA,CX-5,Touring,"18,200","26,569 miles",Shipping: $300,1536,8
2016,HYUNDAI,TUCSON,SE,"14,800","51,203 miles",Free Shipping,1536,9
2018,DODGE,JOURNEY,Crossroad,"17,000","43,462 miles",Shipping: $300,1536,10
2017,CHEVROLET,EQUINOX,LT,"17,600","21,444 miles",Shipping: $300,1536,11
2018,NISSAN,ROGUE SPORT,S,"16,600","29,756 miles",Shipping: $300,1536,12
2017,HYUNDAI,ELANTRA,SE,"13,700","22,953 miles",Shipping: $200,1536,13
2016,HYUNDAI,TUCSON,SE,"15,200","39,854 miles",Shipping: $200,1536,14
2016,KIA,SOUL,+,"16,400","19,934 miles",Shipping: $200,1536,15
2017,TOYOTA,RAV4,LE,"18,900","32,962 miles",Free Shipping,1536,16
2018,CHEVROLET,EQUINOX,LT,"17,700","18,280 miles",Free Shipping,1536,17
2017,CHEVROLET,EQUINOX,LT,"16,900","22,727 miles",Shipping: $300,1536,18
2015,CHEVROLET,EQUINOX,LT,"15,600","41,078 miles",Free Shipping,1536,19
2018,HONDA,CR-V,EX-L,"26,700","18,591 miles",Free Shipping,1536,20
2018,BUICK,ENCORE,Preferred II,"17,300","15,828 miles",Shipping: $200,1537,1
2017,VOLKSWAGEN,TIGUAN,2.0T S,"15,100","31,330 miles",Shipping: $300,1537,2
2017,INFINITI,QX50,QX50,"23,200","28,041 miles",Shipping: $300,1537,3
2017,NISSAN,ROGUE,SV,"18,400","21,672 miles",Shipping: $300,1537,4
2017,CHEVROLET,TRAVERSE,LT,"22,700","38,250 miles",Free Shipping,1537,5
2018,CHEVROLET,EQUINOX,LT,"17,700","28,775 miles",Shipping: $200,1537,6
2017,FORD,ESCAPE,SE,"16,900","22,033 miles",Shipping: $200,1537,7
2016,MAZDA,CX-5,Touring,"18,200","26,569 miles",Shipping: $300,1537,8
2016,HYUNDAI,TUCSON,SE,"14,800","51,203 miles",Free Shipping,1537,9
2018,DODGE,JOURNEY,Crossroad,"17,000","43,462 miles",Shipping: $300,1537,10
2017,CHEVROLET,EQUINOX,LT,"17,600","21,444 miles",Shipping: $300,1537,11
2018,NISSAN,ROGUE SPORT,S,"16,600","29,756 miles",Shipping: $300,1537,12
2017,HYUNDAI,ELANTRA,SE,"13,700","22,953 miles",Shipping: $200,1537,13
2016,HYUNDAI,TUCSON,SE,"15,200","39,854 miles",Shipping: $200,1537,14
2016,KIA,SOUL,+,"16,400","19,934 miles",Shipping: $200,1537,15
2017,TOYOTA,RAV4,LE,"18,900","32,962 miles",Free Shipping,1537,16
2018,CHEVROLET,EQUINOX,LT,"17,700","18,280 miles",Free Shipping,1537,17
2017,CHEVROLET,EQUINOX,LT,"16,900","22,727 miles",Shipping: $300,1537,18
2015,CHEVROLET,EQUINOX,LT,"15,600","41,078 miles",Free Shipping,1537,19
2018,HONDA,CR-V,EX-L,"26,700","18,591 miles",Free Shipping,1537,20
2018,BUICK,ENCORE,Preferred II,"17,300","15,828 miles",Shipping: $200,1538,1
2017,VOLKSWAGEN,TIGUAN,2.0T S,"15,100","31,330 miles",Shipping: $300,1538,2
2017,INFINITI,QX50,QX50,"23,200","28,041 miles",Shipping: $300,1538,3
2017,NISSAN,ROGUE,SV,"18,400","21,672 miles",Shipping: $300,1538,4
2017,CHEVROLET,TRAVERSE,LT,"22,700","38,250 miles",Free Shipping,1538,5
2018,CHEVROLET,EQUINOX,LT,"17,700","28,775 miles",Shipping: $200,1538,6
2017,FORD,ESCAPE,SE,"16,900","22,033 miles",Shipping: $200,1538,7
2016,MAZDA,CX-5,Touring,"18,200","26,569 miles",Shipping: $300,1538,8
2016,HYUNDAI,TUCSON,SE,"14,800","51,203 miles",Free Shipping,1538,9
2018,DODGE,JOURNEY,Crossroad,"17,000","43,462 miles",Shipping: $300,1538,10
2017,CHEVROLET,EQUINOX,LT,"17,600","21,444 miles",Shipping: $300,1538,11
2018,NISSAN,ROGUE SPORT,S,"16,600","29,756 miles",Shipping: $300,1538,12
2017,HYUNDAI,ELANTRA,SE,"13,700","22,953 miles",Shipping: $200,1538,13
2016,HYUNDAI,TUCSON,SE,"15,200","39,854 miles",Shipping: $200,1538,14
2016,KIA,SOUL,+,"16,400","19,934 miles",Shipping: $200,1538,15
2017,TOYOTA,RAV4,LE,"18,900","32,962 miles",Free Shipping,1538,16
2018,CHEVROLET,EQUINOX,LT,"17,700","18,280 miles",Free Shipping,1538,17
2017,CHEVROLET,EQUINOX,LT,"16,900","22,727 miles",Shipping: $300,1538,18
2015,CHEVROLET,EQUINOX,LT,"15,600","41,078 miles",Free Shipping,1538,19
2018,HONDA,CR-V,EX-L,"26,700","18,591 miles",Free Shipping,1538,20
